epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,754.869,2.23411,2.35964,1.92202,0.6162,0.46318,0.46935,0.14279,nan,nan,nan,0.00303755,0.00299884,0.00299884
2,1503.57,2.14121,2.09213,1.80596,0.63316,0.49327,0.50646,0.15986,nan,nan,nan,0.00299707,0.00299707,0.00299707
3,2263.24,2.08013,1.94831,1.74189,0.67484,0.53214,0.56674,0.18437,nan,nan,nan,0.00298829,0.00298829,0.00298829
4,3055.53,2.07037,1.92752,1.74029,0.70149,0.52566,0.58372,0.1938,nan,nan,nan,0.0029737,0.0029737,0.0029737
5,3858.16,2.03726,1.8886,1.70564,0.69566,0.58541,0.62587,0.22079,nan,nan,nan,0.00295335,0.00295335,0.00295335
6,4583.82,2.01916,1.86988,1.70874,0.73268,0.56901,0.62535,0.22388,nan,nan,nan,0.00292732,0.00292732,0.00292732
7,5307.98,2.00659,1.80405,1.6928,0.73514,0.5999,0.65851,0.24618,nan,nan,nan,0.00289572,0.00289572,0.00289572
