epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.163,2.57811,3.21507,2.40326,0.66486,0.52466,0.59652,0.21423,2.19439,1.85775,2.05533,0.0676917,0.000999226,0.000999226
2,871.69,2.43726,3.03447,2.21867,0.6705,0.54041,0.58577,0.19311,2.28819,1.87134,2.11907,0.0350685,0.00170937,0.00170937
3,1336.38,2.40574,3.02543,2.17712,0.66219,0.54499,0.58754,0.20319,2.26012,1.83599,2.08594,0.00154041,0.00151461,0.00151461
4,1807.07,2.37728,3.00092,2.16291,0.68088,0.55007,0.61,0.2121,2.22894,1.81547,2.06279,0.000464946,0.000464946,0.000464946
